From,To,Weight
1,2,0.9999999999999998
1,3,0.9449474916360188
1,4,0.9449474916360188
1,7,-0.814628612332199
1,8,-0.814628612332199
5,6,1.0
5,9,0.8459839978547693
5,10,0.8459839978547693
7,43,0.9542548530855923
11,13,-1.0707098599991192
12,64,-0.9717280506079534
13,12,0.9826766871912203
23,25,0.6735697983418325
23,26,0.6489957270286832
27,28,0.5596151697104308
30,32,1.0975641395416051
32,31,0.6755882240505046
33,34,1.0228344128538498
33,36,-1.430785850143943
37,56,0.7591974430678655
38,39,0.9994801687658096
39,51,0.9623244996041604
51,60,-0.6569319354048516
53,55,-1.4811927536137135
56,49,0.6863095011311604
57,58,0.8849688859904439
